mean,std,var,min,max,rms,zero_cross_rate,spectral_entropy,dominant_freq,energy,iqr,skew,kurtosis,subject_id,activity,qom_category,source_file
-0.0009694758550475407,0.0005098158420069806,2.5991219276128654e-07,-0.0024219803273881737,0.0004693332820594658,0.0010953518276250087,0.0002754062241806665,0.6546880577150264,2.0000452010215435,0.0261387475141676,0.0004734368833528373,0.16991620678550765,0.8989811996937256,S03,walk,Healthy Baseline,S03WALK01.CSV
-0.0010124414841824426,0.000984583211253907,9.694040998830555e-07,-0.006441286599670993,0.0009062852648334255,0.001412247095510061,0.0004590103736344441,1.4719681207294326,3.0000678015323152,0.043450910335307076,0.0005625490967467797,-2.573128257325285,11.47665966624825,S03,walk,Healthy Baseline,S03WALK01.CSV
-0.0009468450404967402,0.001329624515027077,1.7679013509609894e-06,-0.006441286599670993,0.0029954630120361207,0.0016323041633452581,0.0006426145230882218,2.0677142622488347,7.500169503830788,0.05804698618415549,0.0008257687882307016,-1.6049209852088777,5.677633273848613,S03,walk,Healthy Baseline,S03WALK01.CSV
-0.0009005143362614828,0.0015716288457106344,2.470017228669741e-06,-0.007489031790202562,0.004002484509587203,0.001811337433633557,0.000550812448361333,2.335049269071449,5.000113002553858,0.07147863070073321,0.0008502791301494276,-1.1532948513922638,5.368049503744972,S03,walk,Healthy Baseline,S03WALK01.CSV
-0.0010065432537925878,0.001298337591023538,1.6856805002648035e-06,-0.007489031790202562,0.004002484509587203,0.0016428054729699963,0.0002754062241806665,1.9635041969496854,2.0000452010215435,0.058796270782531496,0.0008336791227421218,-1.269822417911272,9.903035968341939,S03,walk,Healthy Baseline,S03WALK01.CSV
-0.000994992236315219,0.0005063340184035651,2.5637413819270184e-07,-0.0023029573271175687,-6.836977123851299e-06,0.0011164155536896923,0.0,0.6109889400532618,2.0000452010215435,0.027153715038102433,0.0007089719574393975,-0.3334736471775664,-0.30592210048855195,S03,walk,Healthy Baseline,S03WALK01.CSV
-0.0010081164698249791,0.0005058947836089722,2.5592953208276876e-07,-0.0020544295952861324,0.0002658327771197821,0.001127931003570319,0.00018360414945377767,0.621459275649246,2.0000452010215435,0.02771676680728679,0.0006499016142325825,0.3683924729621214,-0.1660256735379324,S03,walk,Healthy Baseline,S03WALK01.CSV
-0.0010001731655867475,0.0005153931756875497,2.6563012554529753e-07,-0.0020544295952861324,0.00045016219439992925,0.001125156205468873,0.0002754062241806665,0.6307954216730614,2.0000452010215435,0.027580563739357588,0.0006113573312586533,0.724880903052819,0.20331676355418615,S03,walk,Healthy Baseline,S03WALK01.CSV
-0.0011814418731349219,0.0007447254531787204,5.546160006122504e-07,-0.0035238053054493924,0.0017553741273832588,0.0013965747026954208,9.180207472688883e-05,0.8928948801299816,4.000090402043087,0.04249186973194898,0.0006318230942298189,0.22790701510223463,3.2757785384909086,S04,jump,Intervention Priority,S04JUMP.CSV
-0.0011833099406814527,0.0006435915642270985,4.1421010154428346e-07,-0.0028325957375174558,0.0007897354291922141,0.0013470087294668236,0.00018360414945377767,0.6900079054870485,2.0000452010215435,0.03952922682102257,0.0007155130565783596,0.4320673446431806,0.8173273739193432,S04,jump,Intervention Priority,S04JUMP.CSV
