in s,C1 in V
-5.9569020E+00,-8.61934E-02
-5.9568102E+00,-6.47090E-02
-5.9567184E+00,-6.32441E-02
-5.9566266E+00,-8.47285E-02
-5.9565348E+00,6.41973E-02
-5.9564430E+00,-4.02949E-02
-5.9563512E+00,-5.34785E-02
-5.9562594E+00,-5.59199E-02
-5.9561676E+00,-4.02949E-02
-5.9560758E+00,6.81035E-02
-5.9559840E+00,-5.64082E-02
-5.9558922E+00,-8.22871E-02
-5.9558004E+00,-2.02754E-02
-5.9557086E+00,4.56426E-02
-5.9556168E+00,4.17363E-02
-5.9555250E+00,4.56426E-02
-5.9554332E+00,-1.83223E-02
-5.9553414E+00,2.26934E-02
-5.9552496E+00,3.97832E-02
-5.9551578E+00,-8.17988E-02
-5.9550660E+00,-1.83223E-02
-5.9549742E+00,2.31816E-02
-5.9548824E+00,-6.91035E-02
-5.9547906E+00,6.95684E-02
-5.9546988E+00,-7.49629E-02
-5.9546070E+00,1.63457E-02
-5.9545152E+00,7.34746E-02
-5.9544234E+00,1.14629E-02
-5.9543316E+00,-7.54512E-02
-5.9542398E+00,1.20898E-03
-5.9541480E+00,7.44512E-02
-5.9540562E+00,7.24980E-02
-5.9539644E+00,6.37090E-02
-5.9538726E+00,4.80840E-02
-5.9537808E+00,4.27129E-02
-5.9536890E+00,2.02520E-02
-5.9535972E+00,-8.13105E-02
-5.9535054E+00,-6.17793E-02
-5.9534136E+00,3.53887E-02
-5.9533218E+00,-4.65039E-03
-5.9532300E+00,-7.93574E-02
-5.9531382E+00,1.43926E-02
-5.9530464E+00,-1.29512E-02
-5.9529546E+00,7.93340E-02
-5.9528628E+00,-4.27363E-02
-5.9527710E+00,7.59160E-02
-5.9526792E+00,-1.68574E-02
-5.9525874E+00,-4.90840E-02
-5.9524956E+00,3.78301E-02
-5.9524038E+00,8.07988E-02
-5.9523120E+00,7.06836E-03
-5.9522202E+00,7.20703E-04
-5.9521284E+00,-8.03340E-02
-5.9520366E+00,-4.66426E-02
-5.9519448E+00,-7.49629E-02
-5.9518530E+00,4.80840E-02
-5.9517612E+00,1.20898E-03
-5.9516694E+00,5.78496E-02
-5.9515776E+00,8.03105E-02
-5.9514858E+00,5.34551E-02
-5.9513940E+00,-7.69160E-02
-5.9513022E+00,6.27324E-02
-5.9512104E+00,7.29863E-02
-5.9511186E+00,-8.17988E-02
-5.9510268E+00,7.54277E-02
-5.9509350E+00,2.56230E-02
-5.9508432E+00,-3.63887E-02
