Time(s),Voltage(V)
-5.9556168,-0.0122871
-5.955525,0.00138477
-5.9554332,-0.0166816
-5.9553414,-0.0074043
-5.9552496,-0.00154492
-5.9551578,-0.0186348
-5.955066,-0.025959
-5.9549742,-0.0108223
-5.9548824,-0.00642773
-5.9547906,-0.0132637
-5.9546988,-0.00642773
-5.954607,-0.0161934
-5.9545152,-0.00349805
-5.9544234,-0.0020332
-5.9543316,-0.0127754
-5.9542398,-0.00593945
-5.954148,-0.00593945
-5.9540562,-0.0020332
-5.9539644,-0.00691602
-5.9538726,-0.0117988
-5.9537808,-0.00447461
-5.953689,-0.00642773
-5.9535972,0.00187305
-5.9535054,-0.0074043
-5.9534136,-0.0142402
-5.9533218,-0.00838086
-5.95323,0.000896484
-5.9531382,-0.0074043
-5.9530464,-0.00593945
-5.9529546,-0.0074043
-5.9528628,0.000408203
-5.952771,0.00236133
-5.9526792,0.0204277
-5.9525874,-0.00349805
-5.9524956,-0.00545117
-5.9524038,-0.0152168
-5.952312,0.000408203
-5.9522202,-0.00789258
-5.9521284,-0.00105664
-5.9520366,-8.00781e-05
-5.9519448,-0.00300977
-5.951853,-0.00886914
-5.9517612,0.00382617
-5.9516694,0.000896484
-5.9515776,-0.00496289
-5.9514858,0.0057793
-5.951394,0.00138477
-5.9513022,-0.00447461
-5.9512104,-0.00593945
-5.9511186,0.00187305
-5.9510268,0.00529102
-5.950935,0.00626758
-5.9508432,0.0106621
-5.9507514,0.0150566
-5.9506596,0.0165215
-5.9505678,0.0248223
-5.950476,0.0126152
-5.9503842,0.00187305
-5.9502924,0.00529102
-5.9502006,0.0135918
-5.9501088,0.00138477
-5.950017,0.0111504
-5.9499252,0.0116387
-5.9498334,-0.013752
-5.9497416,0.00480273
-5.9496498,-0.00154492
-5.949558,0.00968555
-5.9494662,0.0160332
-5.9493744,0.0106621
-5.9492826,-0.00545117
-5.9491908,0.0511895
-5.949099,0.0116387
-5.9490072,0.00431445
-5.9489154,0.0111504
